cluster_id	group
0	mua
1	mua
2	noise
3	mua
4	good
5	good
6	mua
7	mua
9	mua
10	mua
11	mua
12	good
13	mua
14	mua
15	good
17	good
18	good
19	mua
20	mua
21	good
22	good
23	good
24	good
25	mua
26	good
27	good
28	good
29	good
30	good
32	mua
33	mua
34	mua
35	good
36	mua
37	mua
38	mua
39	good
40	good
41	mua
42	mua
43	mua
44	good
46	mua
47	mua
48	good
49	mua
50	good
52	mua
54	mua
55	good
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	good
73	mua
74	mua
75	good
76	good
77	mua
78	mua
79	mua
80	good
81	mua
82	good
83	mua
84	good
85	good
86	good
87	mua
88	mua
89	good
90	mua
91	good
92	good
93	mua
94	mua
95	mua
96	mua
97	good
98	mua
99	mua
100	mua
101	mua
102	mua
103	good
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
112	mua
113	mua
114	mua
115	good
117	mua
118	mua
119	mua
120	good
121	good
122	mua
123	good
124	mua
125	mua
126	mua
127	good
128	mua
129	mua
130	mua
131	mua
132	mua
134	mua
135	good
136	good
137	mua
138	mua
139	mua
141	mua
142	mua
143	mua
144	good
145	mua
146	good
147	mua
148	mua
149	mua
150	good
152	mua
153	mua
154	good
155	good
156	good
158	good
159	mua
162	mua
163	good
164	mua
165	noise
166	mua
168	good
169	good
170	good
171	noise
172	mua
173	mua
174	good
176	mua
177	good
178	good
179	mua
180	mua
181	mua
182	good
183	mua
184	mua
185	mua
186	mua
187	mua
188	good
189	mua
190	mua
191	good
193	mua
194	good
195	mua
196	mua
197	mua
198	mua
199	good
200	mua
201	mua
202	good
203	good
204	mua
205	good
206	good
207	good
208	mua
209	mua
210	mua
211	mua
212	mua
213	good
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	good
223	mua
224	good
225	mua
226	mua
227	good
228	mua
229	mua
230	mua
231	good
232	mua
233	mua
234	mua
235	good
237	good
241	mua
242	mua
243	mua
244	good
246	good
247	good
248	mua
249	mua
250	mua
251	good
252	good
253	mua
254	good
255	mua
256	good
257	mua
258	good
259	good
260	mua
262	mua
263	mua
264	mua
265	good
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	mua
279	mua
280	mua
281	mua
284	mua
285	mua
288	mua
289	mua
290	mua
291	mua
292	good
293	mua
294	mua
295	good
296	mua
297	mua
298	mua
299	good
300	mua
301	mua
302	good
304	mua
305	mua
306	mua
307	mua
309	mua
310	mua
311	mua
312	mua
313	good
314	good
315	good
316	mua
318	mua
319	good
320	mua
321	mua
322	mua
323	mua
324	mua
325	good
326	mua
327	mua
328	mua
329	good
330	good
331	mua
332	good
333	mua
334	mua
335	mua
336	good
337	good
338	mua
340	good
341	mua
342	good
344	mua
345	mua
346	mua
347	good
348	good
349	good
351	good
352	good
353	good
354	mua
355	good
356	mua
357	good
358	mua
359	mua
360	mua
361	mua
362	mua
363	good
366	mua
367	mua
368	good
369	mua
370	good
371	good
372	good
373	mua
374	good
375	mua
376	mua
377	mua
378	mua
379	mua
380	good
381	mua
382	good
383	mua
384	noise
385	mua
386	mua
387	mua
389	mua
391	good
392	mua
393	good
394	mua
397	mua
398	mua
399	good
400	good
401	mua
403	good
404	good
405	good
406	good
407	good
408	good
409	good
410	mua
411	good
414	mua
417	good
418	mua
419	mua
420	good
421	good
422	good
423	good
425	mua
426	mua
427	good
428	good
429	good
431	good
433	mua
434	mua
435	mua
436	mua
437	mua
438	mua
439	mua
440	mua
441	mua
442	mua
443	mua
444	mua
445	mua
446	mua
447	mua
448	mua
449	mua
450	good
451	good
452	good
454	good
